model,condition,pass1_acc,reversals,C_to_W,W_to_C,harmful_frac,harmful_ci_lo,harmful_ci_hi,harmful_if_revision_blind,harmful_excess_over_blind,R_given_correct,R_given_wrong,harmful_pred_from_hazards
Claude-Sonnet-4,A0,0.8539,111,96,15,0.8649,0.789,0.9164,0.8539,0.011,0.0566,0.0517,0.8649
GPT-4o-mini,A0,0.8697,68,48,20,0.7059,0.5889,0.8008,0.8697,-0.1638,0.0278,0.0772,0.7059
Gemini-2.0-Flash,A0,0.8978,109,90,19,0.8257,0.7437,0.8855,0.8978,-0.0721,0.0505,0.0936,0.8257
Llama-3.1-8B,A0,0.8305,261,129,132,0.4943,0.4341,0.5546,0.8305,-0.3362,0.0781,0.3917,0.4943
Mistral-7B,A0,0.8758,87,46,41,0.5287,0.4249,0.6302,0.8758,-0.3471,0.0265,0.1667,0.5287
Claude-Sonnet-4,A1,0.853,419,372,47,0.8878,0.854,0.9146,0.853,0.0349,0.2196,0.161,0.8878
GPT-4o-mini,A1,0.8696,228,172,56,0.7544,0.6946,0.8057,0.8696,-0.1152,0.0996,0.2162,0.7544
Gemini-2.0-Flash,A1,0.8977,265,224,41,0.8453,0.7968,0.8839,0.8977,-0.0524,0.1258,0.202,0.8453
Llama-3.1-8B,A1,0.83,361,166,195,0.4598,0.4091,0.5114,0.83,-0.3701,0.1006,0.5769,0.4598
Mistral-7B,A1,0.8758,259,139,120,0.5367,0.4759,0.5964,0.8758,-0.3391,0.0802,0.4878,0.5367
Claude-Sonnet-4,A3,0.8533,471,395,76,0.8386,0.8027,0.8691,0.8533,-0.0147,0.2333,0.2612,0.8386
GPT-4o-mini,A3,0.8696,365,292,73,0.8,0.7559,0.8378,0.8696,-0.0696,0.1691,0.2819,0.8
Gemini-2.0-Flash,A3,0.8973,228,182,46,0.7982,0.7414,0.8452,0.8973,-0.0991,0.1021,0.2255,0.7982
Llama-3.1-8B,A3,0.8296,465,255,210,0.5484,0.5029,0.593,0.8296,-0.2812,0.1545,0.6195,0.5484
Mistral-7B,A3,0.8768,358,198,160,0.5531,0.5013,0.6037,0.8768,-0.3237,0.1141,0.6557,0.5531
