model,condition,n,reversal,reversal_ci_lo,reversal_ci_hi,final_accuracy,accuracy_change_pp,correct_to_wrong,wrong_to_correct
anthropic/claude-opus-4.8,A1_rat_clean,248,0.04435483870967742,0.024944526353032508,0.07766600344029792,0.8870967741935484,-0.40322580645161255,6,5
anthropic/claude-opus-4.8,A3_rat_clean,248,0.06854838709677419,0.043234984421497195,0.10702454378988646,0.8709677419354839,-2.0161290322580627,11,6
anthropic/claude-opus-4.8,A3_rat_gated_clean,248,0.09274193548387097,0.06259383727295131,0.13531468935648563,0.8629032258064516,-2.822580645161288,15,8
anthropic/claude-sonnet-4,A1_rat_clean,249,0.2248995983935743,0.17744574646900543,0.2807130375285646,0.7670682730923695,-12.851405622489963,44,12
anthropic/claude-sonnet-4,A3_rat_clean,249,0.28112449799196787,0.22893779573936984,0.3399622586820545,0.7349397590361446,-16.06425702811245,55,15
anthropic/claude-sonnet-4,A3_rat_gated_clean,249,0.24497991967871485,0.19570094755890188,0.30200829016147324,0.7791164658634538,-11.646586345381527,45,16
google/gemini-2.5-flash,A1_rat_clean,249,0.13654618473895583,0.09938523069350605,0.1847515569237215,0.8032128514056225,-6.425702811244982,25,9
google/gemini-2.5-flash,A3_rat_clean,249,0.18072289156626506,0.13789639182101074,0.23325139398638803,0.7751004016064257,-9.236947791164663,34,11
google/gemini-2.5-flash,A3_rat_gated_clean,249,0.17670682730923695,0.13434802231912812,0.22888967274370964,0.7630522088353414,-10.441767068273089,35,9
google/gemini-3.6-flash,A1_rat_clean,221,0.06334841628959276,0.03810647185960824,0.10351144937916609,0.8552036199095022,-4.52488687782806,12,2
google/gemini-3.6-flash,A3_rat_clean,217,0.08755760368663594,0.05676895107737882,0.13269535274943645,0.8294930875576036,-5.990783410138256,16,3
google/gemini-3.6-flash,A3_rat_gated_clean,214,0.08878504672897196,0.0575752785097237,0.13449822811160111,0.8317757009345794,-6.074766355140193,16,3
openai/gpt-4o-mini,A1_rat_clean,249,0.26506024096385544,0.2141089729110034,0.3231507185321769,0.7630522088353414,-15.261044176706818,52,14
openai/gpt-4o-mini,A3_rat_clean,249,0.3132530120481928,0.258848757885326,0.37333202249258646,0.714859437751004,-20.080321285140556,64,14
openai/gpt-4o-mini,A3_rat_gated_clean,249,0.28112449799196787,0.22893779573936984,0.3399622586820545,0.7469879518072289,-16.867469879518072,56,14
openai/gpt-5.6-terra,A1_rat_clean,249,0.08433734939759036,0.0558216116970429,0.12548399624089135,0.8313253012048193,-6.024096385542165,18,3
openai/gpt-5.6-terra,A3_rat_clean,249,0.10441767068273092,0.07225791506680537,0.14859814659393397,0.8192771084337349,-7.2289156626506035,22,4
openai/gpt-5.6-terra,A3_rat_gated_clean,249,0.11244979919678715,0.07895440163986665,0.15772184150999474,0.8112449799196787,-8.032128514056225,24,4
x-ai/grok-4.5,A1_rat_clean,249,0.10040160642570281,0.06893402022500314,0.1440119506911752,0.8554216867469879,-4.417670682730924,18,7
x-ai/grok-4.5,A3_rat_clean,249,0.11244979919678715,0.07895440163986665,0.15772184150999474,0.8433734939759037,-5.622489959839349,21,7
x-ai/grok-4.5,A3_rat_gated_clean,249,0.10441767068273092,0.07225791506680537,0.14859814659393397,0.8514056224899599,-4.819277108433728,19,7
