stratum,contrast,n_paired,rate_high,rate_low,difference_pp,high_only,low_only,mcnemar_p,model
all,A3_rat_clean - A1_rat_clean,249,0.28112449799196787,0.2248995983935743,5.622489959839358,18,4,0.004343509674072266,anthropic/claude-sonnet-4
benchmark_matching,A3_rat_clean - A1_rat_clean,26,0.5769230769230769,0.46153846153846156,11.538461538461531,3,0,0.25,anthropic/claude-sonnet-4
benchmark_conflicting,A3_rat_clean - A1_rat_clean,223,0.24663677130044842,0.19730941704035873,4.932735426008969,15,4,0.0192108154296875,anthropic/claude-sonnet-4
all,A3_rat_gated_clean - A3_rat_clean,249,0.24497991967871485,0.28112449799196787,-3.6144578313253017,4,13,0.049041748046875,anthropic/claude-sonnet-4
benchmark_matching,A3_rat_gated_clean - A3_rat_clean,26,0.6153846153846154,0.5769230769230769,3.8461538461538547,2,1,1.0,anthropic/claude-sonnet-4
benchmark_conflicting,A3_rat_gated_clean - A3_rat_clean,223,0.20179372197309417,0.24663677130044842,-4.484304932735425,2,12,0.012939453125,anthropic/claude-sonnet-4
all,A3_rat_clean - A1_rat_clean,249,0.18072289156626506,0.13654618473895583,4.417670682730924,16,5,0.02660369873046875,google/gemini-2.5-flash
benchmark_matching,A3_rat_clean - A1_rat_clean,33,0.3333333333333333,0.2727272727272727,6.0606060606060606,6,4,0.75390625,google/gemini-2.5-flash
benchmark_conflicting,A3_rat_clean - A1_rat_clean,216,0.1574074074074074,0.11574074074074074,4.166666666666667,10,1,0.01171875,google/gemini-2.5-flash
all,A3_rat_gated_clean - A3_rat_clean,249,0.17670682730923695,0.18072289156626506,-0.4016064257028107,10,11,1.0,google/gemini-2.5-flash
benchmark_matching,A3_rat_gated_clean - A3_rat_clean,33,0.2727272727272727,0.3333333333333333,-6.0606060606060606,1,3,0.625,google/gemini-2.5-flash
benchmark_conflicting,A3_rat_gated_clean - A3_rat_clean,216,0.16203703703703703,0.1574074074074074,0.46296296296296224,9,8,1.0,google/gemini-2.5-flash
all,A3_rat_clean - A1_rat_clean,249,0.3132530120481928,0.26506024096385544,4.819277108433734,16,4,0.01181793212890625,openai/gpt-4o-mini
benchmark_matching,A3_rat_clean - A1_rat_clean,21,0.6666666666666666,0.6666666666666666,0.0,1,1,1.0,openai/gpt-4o-mini
benchmark_conflicting,A3_rat_clean - A1_rat_clean,228,0.2807017543859649,0.22807017543859648,5.263157894736842,15,3,0.007537841796875,openai/gpt-4o-mini
all,A3_rat_gated_clean - A3_rat_clean,249,0.28112449799196787,0.3132530120481928,-3.212851405622491,4,12,0.076812744140625,openai/gpt-4o-mini
benchmark_matching,A3_rat_gated_clean - A3_rat_clean,21,0.6666666666666666,0.6666666666666666,0.0,0,0,1.0,openai/gpt-4o-mini
benchmark_conflicting,A3_rat_gated_clean - A3_rat_clean,228,0.24561403508771928,0.2807017543859649,-3.508771929824561,4,12,0.076812744140625,openai/gpt-4o-mini
all,A3_rat_clean - A1_rat_clean,747,0.2583668005354752,0.20883534136546184,4.953145917001339,50,13,3.015952084642337e-06,POOLED
benchmark_matching,A3_rat_clean - A1_rat_clean,80,0.5,0.4375,6.25,10,5,0.3017578125,POOLED
benchmark_conflicting,A3_rat_clean - A1_rat_clean,667,0.22938530734632684,0.18140929535232383,4.7976011994003,40,8,3.305266709219268e-06,POOLED
all,A3_rat_gated_clean - A3_rat_clean,747,0.23427041499330656,0.2583668005354752,-2.409638554216867,18,36,0.019834326728068286,POOLED
benchmark_matching,A3_rat_gated_clean - A3_rat_clean,80,0.4875,0.5,-1.250000000000001,3,4,1.0,POOLED
benchmark_conflicting,A3_rat_gated_clean - A3_rat_clean,667,0.20389805097451275,0.22938530734632684,-2.548725637181409,15,32,0.01862383661500644,POOLED
all,A3_rat_clean - A1_rat_clean,248,0.06854838709677419,0.04435483870967742,2.4193548387096766,7,1,0.0703125,anthropic/claude-opus-4.8
benchmark_matching,A3_rat_clean - A1_rat_clean,27,0.2222222222222222,0.18518518518518517,3.7037037037037033,2,1,1.0,anthropic/claude-opus-4.8
benchmark_conflicting,A3_rat_clean - A1_rat_clean,221,0.049773755656108594,0.027149321266968326,2.2624434389140267,5,0,0.0625,anthropic/claude-opus-4.8
all,A3_rat_gated_clean - A3_rat_clean,248,0.09274193548387097,0.06854838709677419,2.419354838709678,13,7,0.26317596435546875,anthropic/claude-opus-4.8
benchmark_matching,A3_rat_gated_clean - A3_rat_clean,27,0.2962962962962963,0.2222222222222222,7.4074074074074066,4,2,0.6875,anthropic/claude-opus-4.8
benchmark_conflicting,A3_rat_gated_clean - A3_rat_clean,221,0.06787330316742081,0.049773755656108594,1.8099547511312215,9,5,0.4239501953125,anthropic/claude-opus-4.8
all,A3_rat_clean - A1_rat_clean,207,0.08695652173913043,0.06280193236714976,2.4154589371980673,6,1,0.125,google/gemini-3.6-flash
benchmark_matching,A3_rat_clean - A1_rat_clean,21,0.14285714285714285,0.09523809523809523,4.761904761904762,1,0,1.0,google/gemini-3.6-flash
benchmark_conflicting,A3_rat_clean - A1_rat_clean,186,0.08064516129032258,0.05913978494623656,2.1505376344086016,5,1,0.21875,google/gemini-3.6-flash
all,A3_rat_gated_clean - A3_rat_clean,203,0.09359605911330049,0.08374384236453201,0.9852216748768474,5,3,0.7265625,google/gemini-3.6-flash
benchmark_matching,A3_rat_gated_clean - A3_rat_clean,22,0.13636363636363635,0.13636363636363635,0.0,0,0,1.0,google/gemini-3.6-flash
benchmark_conflicting,A3_rat_gated_clean - A3_rat_clean,181,0.08839779005524862,0.07734806629834254,1.1049723756906076,5,3,0.7265625,google/gemini-3.6-flash
all,A3_rat_clean - A1_rat_clean,249,0.10441767068273092,0.08433734939759036,2.0080321285140563,8,3,0.2265625,openai/gpt-5.6-terra
benchmark_matching,A3_rat_clean - A1_rat_clean,27,0.14814814814814814,0.1111111111111111,3.7037037037037033,1,0,1.0,openai/gpt-5.6-terra
benchmark_conflicting,A3_rat_clean - A1_rat_clean,222,0.0990990990990991,0.08108108108108109,1.8018018018018014,7,3,0.34375,openai/gpt-5.6-terra
