model,contrast,n,difference_pp,ci_lo,ci_hi,p,seed,bootstrap_samples
GPT-4o-mini,label,249,4.819277108433734,1.6064257028112447,8.433734939759036,0.01181793212890625,20260926,50000
GPT-4o-mini,gate,249,-3.212851405622491,-6.425702811244979,0.0,0.076812744140625,20260927,50000
Claude-Sonnet-4,label,249,5.622489959839358,2.0080321285140563,9.236947791164658,0.004343509674072266,20260928,50000
Claude-Sonnet-4,gate,249,-3.6144578313253017,-6.827309236947792,-0.4016064257028112,0.049041748046875,20260929,50000
Gemini-2.5-Flash,label,249,4.417670682730924,0.8032128514056224,8.032128514056225,0.02660369873046875,20260930,50000
Gemini-2.5-Flash,gate,249,-0.4016064257028107,-4.016064257028113,3.2128514056224895,1.0,20260931,50000
GPT-5.6-terra,label,249,2.0080321285140563,-0.4016064257028112,4.819277108433735,0.2265625,20260932,50000
GPT-5.6-terra,gate,249,0.8032128514056227,-1.6064257028112447,3.2128514056224895,0.75390625,20260933,50000
Grok-4.5,label,249,1.2048192771084334,-1.2048192771084338,4.016064257028113,0.548828125,20260934,50000
Grok-4.5,gate,249,-0.8032128514056227,-3.2128514056224895,1.6064257028112447,0.75390625,20260935,50000
Gemini-3.6-Flash,label,207,2.4154589371980673,0.0,4.830917874396135,0.125,20260936,50000
Gemini-3.6-Flash,gate,203,0.9852216748768474,-1.477832512315271,3.9408866995073892,0.7265625,20260937,50000
Claude-Opus-4.8,label,248,2.4193548387096766,0.4032258064516129,4.838709677419355,0.0703125,20260938,50000
Claude-Opus-4.8,gate,248,2.419354838709678,-1.2096774193548387,6.048387096774194,0.26317596435546875,20260939,50000
