model,condition,n_pass1_correct,R_given_correct,R_given_correct_lo,R_given_correct_hi,n_pass1_wrong,R_given_wrong,R_given_wrong_lo,R_given_wrong_hi,selectivity_diff,selectivity_ratio,pass1_acc
Claude-Sonnet-4,A0,1695,0.0566,0.0466,0.0687,290,0.0517,0.0316,0.0836,-0.0049,0.913,0.8539
Claude-Sonnet-4,A1,1694,0.2196,0.2005,0.2399,292,0.161,0.1233,0.2075,-0.0586,0.733,0.853
Claude-Sonnet-4,A3,1693,0.2333,0.2138,0.2541,291,0.2612,0.214,0.3145,0.0279,1.119,0.8533
GPT-4o-mini,A0,1729,0.0278,0.021,0.0366,259,0.0772,0.0505,0.1163,0.0495,2.782,0.8697
GPT-4o-mini,A1,1727,0.0996,0.0863,0.1146,259,0.2162,0.1704,0.2703,0.1166,2.171,0.8696
GPT-4o-mini,A3,1727,0.1691,0.1521,0.1875,259,0.2819,0.2306,0.3395,0.1128,1.667,0.8696
Gemini-2.0-Flash,A0,1783,0.0505,0.0412,0.0616,203,0.0936,0.0607,0.1415,0.0431,1.854,0.8978
Gemini-2.0-Flash,A1,1781,0.1258,0.1112,0.142,203,0.202,0.1525,0.2625,0.0762,1.606,0.8977
Gemini-2.0-Flash,A3,1783,0.1021,0.0889,0.117,204,0.2255,0.1735,0.2876,0.1234,2.209,0.8973
Llama-3.1-8B,A0,1651,0.0781,0.0661,0.0921,337,0.3917,0.3411,0.4447,0.3136,5.013,0.8305
Llama-3.1-8B,A1,1650,0.1006,0.087,0.1161,338,0.5769,0.5237,0.6284,0.4763,5.734,0.83
Llama-3.1-8B,A3,1650,0.1545,0.1379,0.1728,339,0.6195,0.5667,0.6695,0.4649,4.008,0.8296
Mistral-7B,A0,1735,0.0265,0.0199,0.0352,246,0.1667,0.1253,0.2183,0.1402,6.286,0.8758
Mistral-7B,A1,1734,0.0802,0.0683,0.0939,246,0.4878,0.426,0.55,0.4076,6.085,0.8758
Mistral-7B,A3,1736,0.1141,0.0999,0.1299,244,0.6557,0.5941,0.7125,0.5417,5.749,0.8768
