model,condition,stratum,n,reversal
meta-llama/llama-3.1-8b-instruct,A0,pass1=No,173,0.3295
meta-llama/llama-3.1-8b-instruct,A0,pass1=Yes,327,0.1529
meta-llama/llama-3.1-8b-instruct,A1,pass1=No,173,0.289
meta-llama/llama-3.1-8b-instruct,A1,pass1=Yes,327,0.1498
meta-llama/llama-3.1-8b-instruct,A2,pass1=No,173,0.2543
meta-llama/llama-3.1-8b-instruct,A2,pass1=Yes,326,0.092
meta-llama/llama-3.1-8b-instruct,A4,pass1=No,173,0.3873
meta-llama/llama-3.1-8b-instruct,A4,pass1=Yes,327,0.1743
meta-llama/llama-3.1-8b-instruct,A3,pass1=No,173,0.4566
meta-llama/llama-3.1-8b-instruct,A3,pass1=Yes,327,0.1835
meta-llama/llama-3.1-8b-instruct,A3g,pass1=No,173,0.422
meta-llama/llama-3.1-8b-instruct,A3g,pass1=Yes,327,0.1651
meta-llama/llama-3.1-8b-instruct,A1_agree,pass1=No,173,0.5202
meta-llama/llama-3.1-8b-instruct,A1_agree,pass1=Yes,326,0.2822
meta-llama/llama-3.1-8b-instruct,A3_agree,pass1=No,173,0.4162
meta-llama/llama-3.1-8b-instruct,A3_agree,pass1=Yes,326,0.1779
meta-llama/llama-3.1-8b-instruct,A3_rat,pass1=No,171,0.3567
meta-llama/llama-3.1-8b-instruct,A3_rat,pass1=Yes,327,0.5046
meta-llama/llama-3.1-8b-instruct,A3_rat_gated,pass1=No,171,0.4035
meta-llama/llama-3.1-8b-instruct,A3_rat_gated,pass1=Yes,327,0.3425
meta-llama/llama-3.3-70b-instruct,A0,pass1=No,246,0.0203
meta-llama/llama-3.3-70b-instruct,A0,pass1=Yes,252,0.004
meta-llama/llama-3.3-70b-instruct,A1,pass1=No,245,0.0653
meta-llama/llama-3.3-70b-instruct,A1,pass1=Yes,252,0.0437
meta-llama/llama-3.3-70b-instruct,A2,pass1=No,246,0.1098
meta-llama/llama-3.3-70b-instruct,A2,pass1=Yes,252,0.0278
meta-llama/llama-3.3-70b-instruct,A4,pass1=No,245,0.0816
meta-llama/llama-3.3-70b-instruct,A4,pass1=Yes,251,0.0319
meta-llama/llama-3.3-70b-instruct,A3,pass1=No,246,0.1138
meta-llama/llama-3.3-70b-instruct,A3,pass1=Yes,251,0.0438
meta-llama/llama-3.3-70b-instruct,A3g,pass1=No,246,0.0407
meta-llama/llama-3.3-70b-instruct,A3g,pass1=Yes,250,0.084
meta-llama/llama-3.3-70b-instruct,A1_agree,pass1=No,246,0.0163
meta-llama/llama-3.3-70b-instruct,A1_agree,pass1=Yes,251,0.0159
meta-llama/llama-3.3-70b-instruct,A3_agree,pass1=No,246,0.0285
meta-llama/llama-3.3-70b-instruct,A3_agree,pass1=Yes,252,0.0
meta-llama/llama-3.3-70b-instruct,A3_rat,pass1=No,244,0.291
meta-llama/llama-3.3-70b-instruct,A3_rat,pass1=Yes,252,0.5714
meta-llama/llama-3.3-70b-instruct,A3_rat_gated,pass1=No,244,0.1926
meta-llama/llama-3.3-70b-instruct,A3_rat_gated,pass1=Yes,252,0.5516
