model,condition,stratum,n,reversal
anthropic/claude-opus-4.8,A0,pass1=No,142,0.0352
anthropic/claude-opus-4.8,A0,pass1=Yes,107,0.0187
anthropic/claude-opus-4.8,A1,pass1=No,142,0.0493
anthropic/claude-opus-4.8,A1,pass1=Yes,107,0.0187
anthropic/claude-opus-4.8,A2,pass1=No,142,0.0352
anthropic/claude-opus-4.8,A2,pass1=Yes,107,0.0187
anthropic/claude-opus-4.8,A4,pass1=No,142,0.0282
anthropic/claude-opus-4.8,A4,pass1=Yes,107,0.028
anthropic/claude-opus-4.8,A3,pass1=No,142,0.0352
anthropic/claude-opus-4.8,A3,pass1=Yes,107,0.0187
anthropic/claude-opus-4.8,A3g,pass1=No,142,0.0352
anthropic/claude-opus-4.8,A3g,pass1=Yes,107,0.0187
anthropic/claude-opus-4.8,A1_agree,pass1=No,142,0.0704
anthropic/claude-opus-4.8,A1_agree,pass1=Yes,107,0.0561
anthropic/claude-opus-4.8,A3_agree,pass1=No,142,0.0493
anthropic/claude-opus-4.8,A3_agree,pass1=Yes,107,0.028
anthropic/claude-opus-4.8,A3_rat,pass1=No,140,0.0357
anthropic/claude-opus-4.8,A3_rat,pass1=Yes,107,0.0374
anthropic/claude-opus-4.8,A3_rat_gated,pass1=No,140,0.0714
anthropic/claude-opus-4.8,A3_rat_gated,pass1=Yes,107,0.1028
google/gemini-3.6-flash,A0,pass1=No,127,0.0236
google/gemini-3.6-flash,A0,pass1=Yes,97,0.0412
google/gemini-3.6-flash,A1,pass1=No,124,0.0161
google/gemini-3.6-flash,A1,pass1=Yes,97,0.0412
google/gemini-3.6-flash,A2,pass1=No,130,0.0154
google/gemini-3.6-flash,A2,pass1=Yes,98,0.0204
google/gemini-3.6-flash,A4,pass1=No,129,0.0078
google/gemini-3.6-flash,A4,pass1=Yes,97,0.0515
google/gemini-3.6-flash,A3,pass1=No,129,0.0233
google/gemini-3.6-flash,A3,pass1=Yes,97,0.0928
google/gemini-3.6-flash,A3g,pass1=No,128,0.0
google/gemini-3.6-flash,A3g,pass1=Yes,93,0.0538
google/gemini-3.6-flash,A1_agree,pass1=No,125,0.008
google/gemini-3.6-flash,A1_agree,pass1=Yes,98,0.0306
google/gemini-3.6-flash,A3_agree,pass1=No,126,0.0079
google/gemini-3.6-flash,A3_agree,pass1=Yes,97,0.0206
google/gemini-3.6-flash,A3_rat,pass1=No,120,0.0333
google/gemini-3.6-flash,A3_rat,pass1=Yes,93,0.0968
google/gemini-3.6-flash,A3_rat_gated,pass1=No,119,0.0252
google/gemini-3.6-flash,A3_rat_gated,pass1=Yes,89,0.1798
openai/gpt-5.6-terra,A0,pass1=No,126,0.0238
openai/gpt-5.6-terra,A0,pass1=Yes,124,0.0887
openai/gpt-5.6-terra,A1,pass1=No,126,0.0079
openai/gpt-5.6-terra,A1,pass1=Yes,124,0.129
openai/gpt-5.6-terra,A2,pass1=No,126,0.0397
openai/gpt-5.6-terra,A2,pass1=Yes,124,0.1048
openai/gpt-5.6-terra,A4,pass1=No,126,0.0317
openai/gpt-5.6-terra,A4,pass1=Yes,124,0.1694
openai/gpt-5.6-terra,A3,pass1=No,126,0.0397
openai/gpt-5.6-terra,A3,pass1=Yes,124,0.2339
openai/gpt-5.6-terra,A3g,pass1=No,126,0.0476
openai/gpt-5.6-terra,A3g,pass1=Yes,124,0.1694
openai/gpt-5.6-terra,A1_agree,pass1=No,126,0.0317
openai/gpt-5.6-terra,A1_agree,pass1=Yes,124,0.1613
openai/gpt-5.6-terra,A3_agree,pass1=No,126,0.0159
openai/gpt-5.6-terra,A3_agree,pass1=Yes,124,0.0806
openai/gpt-5.6-terra,A3_rat,pass1=No,125,0.04
openai/gpt-5.6-terra,A3_rat,pass1=Yes,124,0.1694
openai/gpt-5.6-terra,A3_rat_gated,pass1=No,125,0.032
openai/gpt-5.6-terra,A3_rat_gated,pass1=Yes,124,0.1855
x-ai/grok-4.5,A0,pass1=No,138,0.0145
x-ai/grok-4.5,A0,pass1=Yes,112,0.0179
x-ai/grok-4.5,A1,pass1=No,138,0.0072
x-ai/grok-4.5,A1,pass1=Yes,112,0.1071
x-ai/grok-4.5,A2,pass1=No,138,0.0145
x-ai/grok-4.5,A2,pass1=Yes,112,0.0804
x-ai/grok-4.5,A4,pass1=No,138,0.0145
x-ai/grok-4.5,A4,pass1=Yes,112,0.1071
x-ai/grok-4.5,A3,pass1=No,138,0.029
x-ai/grok-4.5,A3,pass1=Yes,112,0.1429
x-ai/grok-4.5,A3g,pass1=No,138,0.0217
x-ai/grok-4.5,A3g,pass1=Yes,112,0.0625
x-ai/grok-4.5,A1_agree,pass1=No,138,0.0
x-ai/grok-4.5,A1_agree,pass1=Yes,112,0.0357
x-ai/grok-4.5,A3_agree,pass1=No,138,0.0072
x-ai/grok-4.5,A3_agree,pass1=Yes,112,0.0089
x-ai/grok-4.5,A3_rat,pass1=No,137,0.0657
x-ai/grok-4.5,A3_rat,pass1=Yes,112,0.1875
x-ai/grok-4.5,A3_rat_gated,pass1=No,137,0.0511
x-ai/grok-4.5,A3_rat_gated,pass1=Yes,112,0.1696
