model,condition,label,n,pass1_acc,final_acc,delta_acc_pp,acc_mcnemar_p,reversal,rev_lo,rev_hi,C_to_W,W_to_C,harmful_frac,R_given_correct,R_given_wrong
anthropic/claude-opus-4.8,A0,drift (no opponent),249,0.8916,0.8956,0.4,1.0,0.0281,0.0137,0.0569,3,4,0.4286,0.0135,0.1481
anthropic/claude-opus-4.8,A1,anonymous disagree,249,0.8916,0.8956,0.4,1.0,0.0361,0.0191,0.0673,4,5,0.4444,0.018,0.1852
anthropic/claude-opus-4.8,A2,low-prestige disagree,249,0.8916,0.8956,0.4,1.0,0.0281,0.0137,0.0569,3,4,0.4286,0.0135,0.1481
anthropic/claude-opus-4.8,A4,neutral-metadata disagree,249,0.8916,0.8876,-0.4,1.0,0.0281,0.0137,0.0569,4,3,0.5714,0.018,0.1111
anthropic/claude-opus-4.8,A3,expert disagree,249,0.8916,0.8956,0.4,1.0,0.0281,0.0137,0.0569,3,4,0.4286,0.0135,0.1481
anthropic/claude-opus-4.8,A3g,expert disagree + gate,249,0.8916,0.8876,-0.4,1.0,0.0281,0.0137,0.0569,4,3,0.5714,0.018,0.1111
anthropic/claude-opus-4.8,A1_agree,anonymous AGREE,249,0.8916,0.8675,-2.41,0.210113525390625,0.0643,0.0399,0.1018,11,5,0.6875,0.0495,0.1852
anthropic/claude-opus-4.8,A3_agree,expert AGREE,249,0.8916,0.8916,0.0,1.0,0.0402,0.022,0.0723,5,5,0.5,0.0225,0.1852
anthropic/claude-opus-4.8,A3_rat,expert disagree + rationale,247,0.8907,0.8785,-1.21,0.5078125,0.0364,0.0193,0.0678,6,3,0.6667,0.0273,0.1111
anthropic/claude-opus-4.8,A3_rat_gated,expert disagree + rationale + gate,247,0.8907,0.8704,-2.02,0.38331031799316406,0.085,0.0563,0.1265,13,8,0.619,0.0591,0.2963
google/gemini-3.6-flash,A0,drift (no opponent),224,0.8884,0.875,-1.34,0.453125,0.0312,0.0152,0.0631,5,2,0.7143,0.0251,0.08
google/gemini-3.6-flash,A1,anonymous disagree,221,0.9005,0.8733,-2.71,0.03125,0.0271,0.0125,0.058,6,0,1.0,0.0302,0.0
google/gemini-3.6-flash,A2,low-prestige disagree,228,0.8991,0.8904,-0.88,0.625,0.0175,0.0068,0.0442,3,1,0.75,0.0146,0.0435
google/gemini-3.6-flash,A4,neutral-metadata disagree,226,0.8894,0.8628,-2.65,0.03125,0.0265,0.0122,0.0567,6,0,1.0,0.0299,0.0
google/gemini-3.6-flash,A3,expert disagree,226,0.8982,0.8717,-2.65,0.14599609375,0.0531,0.0306,0.0905,9,3,0.75,0.0443,0.1304
google/gemini-3.6-flash,A3g,expert disagree + gate,221,0.8914,0.8778,-1.36,0.375,0.0226,0.0097,0.0519,4,1,0.8,0.0203,0.0417
google/gemini-3.6-flash,A1_agree,anonymous AGREE,223,0.8924,0.8744,-1.79,0.125,0.0179,0.007,0.0452,4,0,1.0,0.0201,0.0
google/gemini-3.6-flash,A3_agree,expert AGREE,223,0.8879,0.8924,0.45,1.0,0.0135,0.0046,0.0388,1,2,0.3333,0.0051,0.08
google/gemini-3.6-flash,A3_rat,expert disagree + rationale,213,0.9014,0.8685,-3.29,0.09228515625,0.061,0.036,0.1016,10,3,0.7692,0.0521,0.1429
google/gemini-3.6-flash,A3_rat_gated,expert disagree + rationale + gate,208,0.8942,0.8317,-6.25,0.004425048828125,0.0913,0.0593,0.1383,16,3,0.8421,0.086,0.1364
openai/gpt-5.6-terra,A0,drift (no opponent),250,0.892,0.884,-0.8,0.79052734375,0.056,0.0336,0.0918,8,6,0.5714,0.0359,0.2222
openai/gpt-5.6-terra,A1,anonymous disagree,250,0.892,0.856,-3.6,0.049041748046875,0.068,0.0429,0.1062,13,4,0.7647,0.0583,0.1481
openai/gpt-5.6-terra,A2,low-prestige disagree,250,0.892,0.852,-4.0,0.0308837890625,0.072,0.046,0.1109,14,4,0.7778,0.0628,0.1481
openai/gpt-5.6-terra,A4,neutral-metadata disagree,250,0.892,0.824,-6.8,0.0009105205535888672,0.1,0.0687,0.1435,21,4,0.84,0.0942,0.1481
openai/gpt-5.6-terra,A3,expert disagree,250,0.892,0.804,-8.8,0.00019512558355927467,0.136,0.099,0.184,28,6,0.8235,0.1256,0.2222
openai/gpt-5.6-terra,A3g,expert disagree + gate,250,0.892,0.832,-6.0,0.005924612283706665,0.108,0.0753,0.1526,21,6,0.7778,0.0942,0.2222
openai/gpt-5.6-terra,A1_agree,anonymous AGREE,250,0.892,0.852,-4.0,0.06391465663909912,0.096,0.0654,0.1389,17,7,0.7083,0.0762,0.2593
openai/gpt-5.6-terra,A3_agree,expert AGREE,250,0.892,0.876,-1.6,0.3876953125,0.048,0.0277,0.082,8,4,0.6667,0.0359,0.1481
openai/gpt-5.6-terra,A3_rat,expert disagree + rationale,249,0.8916,0.8193,-7.23,0.0005335211753845215,0.1044,0.0723,0.1486,22,4,0.8462,0.0991,0.1481
openai/gpt-5.6-terra,A3_rat_gated,expert disagree + rationale + gate,249,0.8916,0.8313,-6.02,0.005924612283706665,0.1084,0.0756,0.1532,21,6,0.7778,0.0946,0.2222
x-ai/grok-4.5,A0,drift (no opponent),250,0.9,0.9,0.0,1.0,0.016,0.0062,0.0404,2,2,0.5,0.0089,0.08
x-ai/grok-4.5,A1,anonymous disagree,250,0.9,0.88,-2.0,0.266845703125,0.052,0.0306,0.0869,9,4,0.6923,0.04,0.16
x-ai/grok-4.5,A2,low-prestige disagree,250,0.9,0.88,-2.0,0.2265625,0.044,0.0247,0.0771,8,3,0.7273,0.0356,0.12
x-ai/grok-4.5,A4,neutral-metadata disagree,250,0.9,0.868,-3.2,0.057373046875,0.056,0.0336,0.0918,11,3,0.7857,0.0489,0.12
x-ai/grok-4.5,A3,expert disagree,250,0.9,0.852,-4.8,0.01181793212890625,0.08,0.0524,0.1203,16,4,0.8,0.0711,0.16
x-ai/grok-4.5,A3g,expert disagree + gate,250,0.9,0.9,0.0,1.0,0.04,0.0219,0.0721,5,5,0.5,0.0222,0.2
x-ai/grok-4.5,A1_agree,anonymous AGREE,250,0.9,0.9,0.0,1.0,0.016,0.0062,0.0404,2,2,0.5,0.0089,0.08
x-ai/grok-4.5,A3_agree,expert AGREE,250,0.9,0.9,0.0,1.0,0.008,0.0022,0.0287,1,1,0.5,0.0044,0.04
x-ai/grok-4.5,A3_rat,expert disagree + rationale,249,0.8996,0.8434,-5.62,0.016124801710247993,0.1205,0.0857,0.1668,22,8,0.7333,0.0982,0.32
x-ai/grok-4.5,A3_rat_gated,expert disagree + rationale + gate,249,0.8996,0.8434,-5.62,0.009355306625366211,0.1044,0.0723,0.1486,20,6,0.7692,0.0893,0.24
